預註冊閘門通過：DECISION_20260904_R461_LCB3_REPLICATION_PREREG.md 授權 g_r461_lcb3_three_arm
189 題（lcb3　offset=0　題序 [0, 189)）　輸出 runs/g_r461_lcb3_three_arm
── 量具驗證（先答已知答案）
   參考解通過 12/12　壞解被擋 12/12
   可見閘門（CONFORM 決策量具）參考解通過 12/12　樁被擋 12/12　覆蓋 12/12
── 模型池：6 個 agent／1 個模型家族
  [CONFORM 120/189] 需求符合=False 接受=False 累計呼叫=194
  [OFF5 120/189] 需求符合=False 接受=True 累計呼叫=600
  [OFF 121/189] 需求符合=False 接受=True 累計呼叫=121
  [CONFORM 121/189] 需求符合=True 接受=True 累計呼叫=195
  [OFF5 121/189] 需求符合=True 接受=True 累計呼叫=605
  [OFF 122/189] 需求符合=False 接受=True 累計呼叫=122
  [CONFORM 122/189] 需求符合=False 接受=True 累計呼叫=196
  [OFF5 122/189] 需求符合=False 接受=True 累計呼叫=610
  [OFF 123/189] 需求符合=True 接受=True 累計呼叫=123
  [CONFORM 123/189] 需求符合=True 接受=True 累計呼叫=198
  [OFF5 123/189] 需求符合=True 接受=True 累計呼叫=615
  [OFF 124/189] 需求符合=True 接受=True 累計呼叫=124
  [CONFORM 124/189] 需求符合=True 接受=True 累計呼叫=199
  [OFF5 124/189] 需求符合=True 接受=True 累計呼叫=620
  [OFF 125/189] 需求符合=True 接受=True 累計呼叫=125
  [CONFORM 125/189] 需求符合=True 接受=True 累計呼叫=200
  [OFF5 125/189] 需求符合=True 接受=True 累計呼叫=625
  [OFF 126/189] 需求符合=False 接受=True 累計呼叫=126
  [CONFORM 126/189] 需求符合=True 接受=True 累計呼叫=201
